S;I;N;S->I;I->N;S->N;N->S;a;b;c;e;R0
39800.0;200.0;0.0;677;154;31386;0;8.5050255E-5;0.77;0.788593;0.0;0.0
7737.0;723.0;31540.0;271;592;5948;6478;4.8446054E-5;0.8188105;0.76877344;0.0;0.0
7996.0;402.0;31602.0;222;317;6203;6508;6.906439E-5;0.78855723;0.77576286;0.0;0.0
8079.0;307.0;31614.0;194;238;6315;6485;7.8217825E-5;0.7752443;0.78165615;0.0;0.0
8055.0;263.0;31682.0;190;211;6255;6455;8.968758E-5;0.8022814;0.7765363;0.0;0.0
8065.0;242.0;31693.0;163;185;6272;6421;8.351565E-5;0.7644628;0.77768135;0.0;0.0
8051.0;220.0;31729.0;144;174;6285;6501;8.129989E-5;0.7909091;0.78064835;0.0;0.0
8123.0;190.0;31687.0;145;156;6287;6597;9.395025E-5;0.8210526;0.77397513;0.0;0.0
8288.0;179.0;31533.0;128;140;6490;6701;8.627942E-5;0.7821229;0.78305984;0.0;0.0
8371.0;167.0;31462.0;130;133;6580;6709;9.299284E-5;0.79640716;0.78604704;0.0;0.0
8370.0;164.0;31466.0;113;126;6649;6630;8.2320716E-5;0.76829267;0.7943847;0.0;0.0
8238.0;151.0;31611.0;108;130;6504;6636;8.682105E-5;0.86092716;0.78951204;0.0;0.0
8262.0;129.0;31609.0;86;101;6487;6632;8.069071E-5;0.78294575;0.78516096;0.0;0.0
8321.0;114.0;31565.0;75;88;6671;6567;7.906438E-5;0.7719298;0.80170655;0.0;0.0
8142.0;101.0;31757.0;62;85;6460;6547;7.539442E-5;0.84158415;0.79341686;0.0;0.0
8167.0;78.0;31755.0;55;70;6519;6612;8.63387E-5;0.8974359;0.7982123;0.0;0.0
8205.0;63.0;31732.0;55;50;6527;6563;1.06400475E-4;0.7936508;0.79549056;0.0;0.0
8186.0;68.0;31746.0;63;60;6461;6593;1.1317745E-4;0.88235295;0.7892744;0.0;0.0
8255.0;71.0;31674.0;53;58;6533;6651;9.0427486E-5;0.8169014;0.7913992;0.0;0.0
8320.0;66.0;31614.0;39;57;6586;6671;7.1022725E-5;0.8636364;0.7915865;0.0;0.0
8366.0;48.0;31586.0;37;37;6681;6781;9.213881E-5;0.7708333;0.7985895;0.0;0.0
8429.0;48.0;31523.0;36;39;6790;6721;8.897853E-5;0.8125;0.80555224;0.0;0.0
8324.0;45.0;31631.0;35;31;6628;6698;9.3437986E-5;0.6888889;0.7962518;0.0;0.0
8359.0;49.0;31592.0;46;37;6638;6710;1.12307156E-4;0.75510204;0.7941141;0.0;0.0
8385.0;58.0;31557.0;40;46;6646;6742;8.2248676E-5;0.79310346;0.7926058;0.0;0.0
8441.0;52.0;31507.0;45;38;6758;6775;1.02521575E-4;0.7307692;0.800616;0.0;0.0
8413.0;59.0;31528.0;51;48;6685;6809;1.02746555E-4;0.8135593;0.7946036;0.0;0.0
8486.0;62.0;31452.0;49;51;6757;6810;9.313252E-5;0.82258064;0.79625267;0.0;0.0
8490.0;60.0;31450.0;37;39;6754;6928;7.263447E-5;0.65;0.7955241;0.0;0.0
